id,content
0,"Duke Energy Landlord Experience QUICK START GUIDE

The Duke Energy online Landlord Experience is designed for landlords and property managers to take care of their energy needs as quickly and conveniently as possible by:

Streamlining the bill pay process • Managing their properties related to tenant move-ins and move-outs • Efficiently keeping the right people in the know on energy-related matters, like outages • Tracking and managing energy usage and costs

TABLE OF CONTENTS"
1,"TABLE OF CONTENTS

Getting Started . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2 – Registration Existing Users New Users – Dashboard

Manage Your Properties . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 – Manage Properties Dashboard – Adding New Properties to Your Profile – Enroll/Unenroll in Revert-to-Owner – Start or Stop Service to a Property"
2,"Streamline Bill Payment . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 11 – Pay My Bills Page – Making Digital Payments – Billing and Payment Notifications – Billing and Payment Programs – Billing and Payment Activity

Stay in the Know . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 – Billing, Payment, Outage and Service Notifications"
3,"Manage Energy Usage . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .11 – View and Download Energy Data – Compare Business Rate Options

Duke Energy Landlord Experience QUICK START GUIDE

GETTING STARTED

Registration for Existing Online Account Customers

Customers with existing online accounts can sign in using their current credentials and may find their accounts already set up in the Landlord, Business or Home tool ."
4,"Existing accounts that you have previously set up on a Revert-to-Owner program (to automatically reestablish service in your name when a tenant moves out) may find their accounts already established in the Landlord Experience. In this case, when you log in you will already see “Landlord” as an option for selection. (See Experience Selector to the right.)

Existing accounts on Residential rates that were not previously set up on a Revert-to Owner program may be set up in the “Home” experience ."
5,"Accounts with Nonresidential/Business rates will be

found in the Business tool .

Key Points

Registered users can manage multiple account types across different experiences using a single sign-in ID – for example, Home, Business and Landlord.

1 . If you have accounts in multiple tools, you will see an experience selector page when signing in (1).

2 . You can easily navigate back to an alternate"
6,"2 . You can easily navigate back to an alternate

experience by selecting the experience selector icon on the upper right portion of your dashboard within any of the tools (2).

3 . These setups are flexible, and accounts can be moved

to fit the way you want to work. If you want accounts set up differently, please contact our Business Customer Service team (duke-energy .com/customer-service/business) so we can help make that happen.

1

2

2

Duke Energy Landlord Experience QUICK START GUIDE"
7,"1

2

2

Duke Energy Landlord Experience QUICK START GUIDE

Registration for New Users Without an Existing Online Account or Who Want to Add the Landlord Experience to Their Account

1 . Go to duke-energy .com/register .

2 . Select Landlord (1) .

Choose ‘Yes’ if some or all of your properties are already enrolled in Revert-to-Owner (RTO)."
8,"Choose ‘Yes’ if some or all of your properties are already enrolled in Revert-to-Owner (RTO).

Note: The Revert-to-Owner (RTO) program automatically reestablishes service in your name when a tenant moves out . Different Duke Energy regions have called it by different names previously . Check ‘Yes’ if your accounts have been enrolled in this type of program – even if it had a different name ."
9,"If you already have properties enrolled in RTO, those properties will be visible in your experience once your profile is established. You will also be able to add additional properties that are not RTO-enrolled .

Choose ‘No’ if your properties need to be set up for the

first time and/or you are not enrolled in RTO."
