entity_id_1,relation_id,entity_id_2
0,0,40
0,0,40
0,0,41
0,0,40
0,0,42
0,0,43
1,1,2
2,2,1
3,3,44
3,3,45
4,0,46
5,0,47
6,4,48
7,5,48
8,0,49
9,0,40
10,5,9
10,0,50
11,0,51
12,4,51
12,1,13
13,6,52
0,0,53
14,7,15
15,8,54
16,9,55
15,9,56
17,10,18
18,0,57
15,1,58
15,11,19
19,4,48
20,1,59
20,12,60
21,13,22
22,14,23
22,14,24
23,15,61
24,15,61
22,16,62
24,16,62
23,16,62
25,0,63
25,1,64
25,17,65
26,0,66
26,1,67
26,17,68
27,4,0
27,0,42
27,0,69
27,18,28
28,1,70
27,17,71
27,19,72
29,4,0
29,0,73
29,20,74
29,20,75
0,1,29
20,4,0
30,21,76
31,21,77
32,18,78
32,17,71
32,22,79
32,0,80
0,23,32
3,24,33
33,1,34
34,1,81
33,3,35
35,1,82
35,1,83
35,1,84
35,1,36
36,1,85
36,1,86
33,0,87
37,0,42
37,0,69
37,0,88
37,4,0
37,1,89
37,25,90
37,3,91
37,3,92
0,0,42
0,0,69
0,0,63
0,0,66
0,0,93
0,0,94
0,1,38
38,22,95
0,1,39
39,22,96
0,1,97
0,4,98
0,4,99
